ID,Risk/Opportunity,Risk/Opportunity Description,Relevant Issue / Interested Party,Risk/Opportunity Owner,Likelihood,Severity / Impact,Risk/Opportunity Level,Risk mitigation/ opportunity description.,Status Closed
106,Opportunity,Loss of key personnel,Compliance,Bob,5,4,High,Mitigation plan 106,In Progress
107,Risk,Loss of key personnel,IT Security,Alice,1,1,Medium,Mitigation plan 107,In Progress
108,Risk,Data loss due to hardware failure,IT Security,Ethan,5,3,Low,Mitigation plan 108,In Progress
109,Risk,Supplier failure risk,Regulatory,Charlie,2,2,Low,Mitigation plan 109,Closed
110,Risk,Positive impact of automation,Customer Satisfaction,Ethan,2,3,Low,Mitigation plan 110,Closed
111,Opportunity,Data loss due to hardware failure,Customer Satisfaction,Bob,1,5,Low,Mitigation plan 111,Closed
112,Risk,Positive impact of automation,Customer Satisfaction,Bob,3,4,High,Mitigation plan 112,In Progress
113,Opportunity,Positive impact of automation,Regulatory,Diana,2,5,Medium,Mitigation plan 113,In Progress
114,Risk,New market entry opportunity,Compliance,Fiona,2,3,Medium,Mitigation plan 114,In Progress
115,Risk,Cybersecurity breach,Regulatory,Fiona,2,5,High,Mitigation plan 115,In Progress
116,Opportunity,Supplier failure risk,Environmental,Charlie,5,1,High,Mitigation plan 116,Open
117,Opportunity,Data loss due to hardware failure,Compliance,Alice,3,1,Medium,Mitigation plan 117,In Progress
118,Risk,Loss of key personnel,Supply Chain,Diana,1,5,Low,Mitigation plan 118,Open
119,Opportunity,Compliance with new regulation,Supply Chain,Bob,2,4,Low,Mitigation plan 119,Closed
120,Opportunity,Data loss due to hardware failure,Supply Chain,Alice,4,2,High,Mitigation plan 120,Open
121,Opportunity,Loss of key personnel,Supply Chain,Fiona,5,2,Low,Mitigation plan 121,Open
122,Opportunity,New market entry opportunity,Supply Chain,Ethan,4,3,High,Mitigation plan 122,Closed
123,Risk,New market entry opportunity,IT Security,Fiona,3,5,Medium,Mitigation plan 123,Closed
124,Risk,Data loss due to hardware failure,Customer Satisfaction,Bob,3,3,High,Mitigation plan 124,In Progress
125,Risk,Loss of key personnel,IT Security,Bob,1,3,High,Mitigation plan 125,In Progress
126,Risk,Cybersecurity breach,Regulatory,Alice,1,4,Medium,Mitigation plan 126,In Progress
127,Risk,Compliance with new regulation,Environmental,Bob,5,3,Medium,Mitigation plan 127,Closed
128,Risk,Data loss due to hardware failure,IT Security,Alice,3,4,Low,Mitigation plan 128,Closed
129,Risk,New market entry opportunity,Regulatory,Alice,4,1,Low,Mitigation plan 129,In Progress
130,Risk,Cybersecurity breach,Supply Chain,Diana,1,4,High,Mitigation plan 130,In Progress
131,Risk,Loss of key personnel,Supply Chain,Diana,4,3,Low,Mitigation plan 131,Open
132,Risk,Cybersecurity breach,Customer Satisfaction,Alice,5,3,High,Mitigation plan 132,Closed
133,Opportunity,Compliance with new regulation,Compliance,Diana,2,2,Low,Mitigation plan 133,Open
134,Opportunity,Positive impact of automation,IT Security,Ethan,3,2,Medium,Mitigation plan 134,Open
135,Opportunity,Positive impact of automation,Regulatory,Diana,2,5,Low,Mitigation plan 135,Open
136,Opportunity,Supplier failure risk,IT Security,Bob,2,3,Medium,Mitigation plan 136,In Progress
137,Opportunity,Data loss due to hardware failure,Regulatory,Alice,2,1,High,Mitigation plan 137,In Progress
138,Risk,Loss of key personnel,IT Security,Alice,3,1,Medium,Mitigation plan 138,Open
139,Opportunity,Supplier failure risk,Supply Chain,Fiona,2,2,Low,Mitigation plan 139,In Progress
140,Risk,New market entry opportunity,Supply Chain,Diana,5,2,High,Mitigation plan 140,In Progress
141,Risk,Compliance with new regulation,Supply Chain,Diana,1,5,High,Mitigation plan 141,Open
142,Opportunity,Supplier failure risk,Regulatory,Bob,5,1,Low,Mitigation plan 142,In Progress
143,Risk,Data loss due to hardware failure,Compliance,Diana,3,3,High,Mitigation plan 143,In Progress
144,Opportunity,Supplier failure risk,Supply Chain,Alice,3,3,Medium,Mitigation plan 144,Open
145,Opportunity,New market entry opportunity,Supply Chain,Ethan,1,4,High,Mitigation plan 145,Closed
146,Opportunity,Supplier failure risk,Compliance,Bob,1,2,High,Mitigation plan 146,Closed
147,Risk,Compliance with new regulation,Supply Chain,Charlie,2,5,Low,Mitigation plan 147,Closed
148,Risk,Positive impact of automation,Compliance,Alice,2,1,Medium,Mitigation plan 148,In Progress
149,Risk,Supplier failure risk,Compliance,Diana,3,2,Medium,Mitigation plan 149,In Progress
150,Risk,Supplier failure risk,Customer Satisfaction,Charlie,5,1,High,Mitigation plan 150,Closed
151,Opportunity,Loss of key personnel,Customer Satisfaction,Ethan,1,5,Medium,Mitigation plan 151,Open
152,Risk,Loss of key personnel,Environmental,Bob,4,1,Low,Mitigation plan 152,Closed
153,Risk,Loss of key personnel,Regulatory,Fiona,3,1,Medium,Mitigation plan 153,Closed
154,Opportunity,Compliance with new regulation,IT Security,Charlie,3,5,Low,Mitigation plan 154,Closed
155,Risk,Cybersecurity breach,Environmental,Ethan,3,2,High,Mitigation plan 155,Closed
156,Opportunity,Loss of key personnel,Compliance,Alice,1,2,Medium,Mitigation plan 156,Open
157,Risk,Positive impact of automation,Customer Satisfaction,Alice,4,2,Medium,Mitigation plan 157,Closed
158,Opportunity,Positive impact of automation,Regulatory,Fiona,4,4,Medium,Mitigation plan 158,Closed
159,Opportunity,Loss of key personnel,Compliance,Diana,1,4,Low,Mitigation plan 159,In Progress
160,Opportunity,New market entry opportunity,Customer Satisfaction,Ethan,5,2,Low,Mitigation plan 160,Closed
161,Risk,Positive impact of automation,IT Security,Ethan,2,5,Low,Mitigation plan 161,Open
162,Opportunity,Compliance with new regulation,IT Security,Ethan,1,3,Medium,Mitigation plan 162,Open
163,Risk,Positive impact of automation,Compliance,Bob,3,2,Low,Mitigation plan 163,Open
164,Opportunity,Supplier failure risk,Regulatory,Bob,3,4,Medium,Mitigation plan 164,In Progress
165,Risk,Positive impact of automation,Customer Satisfaction,Diana,2,1,Medium,Mitigation plan 165,Open
166,Opportunity,Compliance with new regulation,Customer Satisfaction,Diana,5,2,Low,Mitigation plan 166,Closed
167,Risk,Supplier failure risk,Supply Chain,Bob,4,4,Medium,Mitigation plan 167,Closed
168,Risk,Positive impact of automation,Regulatory,Bob,2,5,Low,Mitigation plan 168,In Progress
169,Opportunity,Loss of key personnel,Environmental,Diana,1,5,Medium,Mitigation plan 169,In Progress
170,Opportunity,Supplier failure risk,Environmental,Fiona,4,2,Low,Mitigation plan 170,Closed
171,Risk,New market entry opportunity,Compliance,Alice,2,3,Medium,Mitigation plan 171,In Progress
172,Opportunity,Compliance with new regulation,Compliance,Diana,2,2,High,Mitigation plan 172,Open
173,Risk,Cybersecurity breach,Supply Chain,Bob,3,2,Medium,Mitigation plan 173,Open
174,Risk,Cybersecurity breach,Environmental,Fiona,5,1,Medium,Mitigation plan 174,In Progress
175,Opportunity,Cybersecurity breach,IT Security,Bob,4,1,Medium,Mitigation plan 175,Open
176,Opportunity,New market entry opportunity,IT Security,Diana,1,3,High,Mitigation plan 176,In Progress
177,Opportunity,Supplier failure risk,Compliance,Fiona,3,2,Low,Mitigation plan 177,Open
178,Opportunity,Data loss due to hardware failure,Supply Chain,Bob,3,2,Medium,Mitigation plan 178,Open
179,Opportunity,Compliance with new regulation,Customer Satisfaction,Charlie,3,2,High,Mitigation plan 179,Open
180,Opportunity,Positive impact of automation,Supply Chain,Charlie,4,2,Medium,Mitigation plan 180,Open
181,Risk,Data loss due to hardware failure,Compliance,Alice,1,2,Medium,Mitigation plan 181,Open
182,Opportunity,Loss of key personnel,Compliance,Ethan,3,4,Medium,Mitigation plan 182,Closed
183,Risk,New market entry opportunity,IT Security,Alice,5,1,High,Mitigation plan 183,Open
184,Risk,Compliance with new regulation,Supply Chain,Bob,2,4,High,Mitigation plan 184,Closed
185,Risk,Cybersecurity breach,Supply Chain,Charlie,5,5,Medium,Mitigation plan 185,Closed
186,Risk,Loss of key personnel,IT Security,Charlie,2,5,Medium,Mitigation plan 186,In Progress
187,Opportunity,Compliance with new regulation,Environmental,Diana,5,5,High,Mitigation plan 187,Closed
188,Opportunity,Compliance with new regulation,Supply Chain,Diana,1,2,Low,Mitigation plan 188,Closed
189,Opportunity,Positive impact of automation,Regulatory,Bob,2,4,High,Mitigation plan 189,Open
190,Opportunity,Positive impact of automation,Compliance,Fiona,5,1,High,Mitigation plan 190,Open
191,Risk,Data loss due to hardware failure,Compliance,Bob,5,2,Low,Mitigation plan 191,Closed
192,Opportunity,Supplier failure risk,Regulatory,Bob,2,5,High,Mitigation plan 192,Open
193,Opportunity,Data loss due to hardware failure,Environmental,Diana,1,3,Medium,Mitigation plan 193,In Progress
194,Opportunity,Cybersecurity breach,Compliance,Bob,3,3,High,Mitigation plan 194,Closed
195,Opportunity,Data loss due to hardware failure,IT Security,Diana,5,5,Medium,Mitigation plan 195,Open
196,Opportunity,Positive impact of automation,IT Security,Alice,5,2,Medium,Mitigation plan 196,Open
197,Risk,Compliance with new regulation,Customer Satisfaction,Alice,4,5,Low,Mitigation plan 197,Closed
198,Opportunity,Data loss due to hardware failure,Compliance,Diana,1,4,High,Mitigation plan 198,In Progress
199,Risk,Supplier failure risk,Regulatory,Diana,1,1,Low,Mitigation plan 199,Closed
200,Risk,New market entry opportunity,Regulatory,Fiona,4,1,High,Mitigation plan 200,Closed
201,Opportunity,New market entry opportunity,Customer Satisfaction,Charlie,3,2,High,Mitigation plan 201,In Progress
202,Opportunity,Supplier failure risk,Compliance,Bob,4,5,High,Mitigation plan 202,Closed
203,Opportunity,Loss of key personnel,Environmental,Bob,3,5,High,Mitigation plan 203,In Progress
204,Risk,Supplier failure risk,IT Security,Bob,3,2,Low,Mitigation plan 204,Closed
205,Opportunity,Data loss due to hardware failure,Customer Satisfaction,Alice,1,4,Medium,Mitigation plan 205,Open
206,Opportunity,Loss of key personnel,Regulatory,Charlie,1,1,Low,Mitigation plan 206,In Progress
207,Opportunity,Positive impact of automation,IT Security,Ethan,3,1,High,Mitigation plan 207,Closed
208,Risk,Compliance with new regulation,Customer Satisfaction,Fiona,3,1,Low,Mitigation plan 208,In Progress
209,Opportunity,Positive impact of automation,Regulatory,Diana,3,1,High,Mitigation plan 209,Closed
210,Risk,Supplier failure risk,Compliance,Alice,2,1,High,Mitigation plan 210,Closed
211,Opportunity,Data loss due to hardware failure,Environmental,Bob,3,1,High,Mitigation plan 211,In Progress
212,Opportunity,Cybersecurity breach,Regulatory,Alice,2,5,Low,Mitigation plan 212,Closed
213,Risk,Data loss due to hardware failure,Supply Chain,Ethan,5,1,High,Mitigation plan 213,Closed
214,Risk,Compliance with new regulation,Compliance,Diana,1,5,Medium,Mitigation plan 214,Closed
215,Opportunity,Cybersecurity breach,Supply Chain,Diana,4,1,Low,Mitigation plan 215,Closed
216,Opportunity,Supplier failure risk,Supply Chain,Bob,4,4,Medium,Mitigation plan 216,Closed
217,Risk,Loss of key personnel,IT Security,Fiona,2,5,Low,Mitigation plan 217,In Progress
218,Opportunity,Compliance with new regulation,Customer Satisfaction,Charlie,3,1,Low,Mitigation plan 218,In Progress
219,Risk,Positive impact of automation,Customer Satisfaction,Alice,1,3,Medium,Mitigation plan 219,In Progress
220,Opportunity,Loss of key personnel,Compliance,Alice,5,3,Medium,Mitigation plan 220,In Progress
221,Risk,Cybersecurity breach,Customer Satisfaction,Fiona,2,1,Low,Mitigation plan 221,In Progress
222,Risk,Cybersecurity breach,Supply Chain,Ethan,2,4,Low,Mitigation plan 222,Open
223,Risk,Supplier failure risk,IT Security,Alice,3,3,High,Mitigation plan 223,Closed
224,Opportunity,Positive impact of automation,Environmental,Fiona,5,4,High,Mitigation plan 224,In Progress
225,Risk,Cybersecurity breach,Supply Chain,Diana,4,5,Medium,Mitigation plan 225,In Progress
226,Risk,Compliance with new regulation,Environmental,Diana,3,1,Low,Mitigation plan 226,Open
227,Risk,Loss of key personnel,Customer Satisfaction,Charlie,5,4,High,Mitigation plan 227,Closed
228,Opportunity,Cybersecurity breach,Supply Chain,Fiona,4,4,Medium,Mitigation plan 228,Closed
229,Risk,Data loss due to hardware failure,Environmental,Alice,5,5,High,Mitigation plan 229,Open
230,Opportunity,New market entry opportunity,Supply Chain,Ethan,5,5,Medium,Mitigation plan 230,In Progress
231,Risk,New market entry opportunity,Compliance,Ethan,2,3,High,Mitigation plan 231,Closed
232,Risk,Positive impact of automation,Compliance,Charlie,4,5,Low,Mitigation plan 232,Closed
233,Opportunity,Loss of key personnel,Environmental,Alice,5,1,Low,Mitigation plan 233,In Progress
234,Risk,Positive impact of automation,IT Security,Diana,3,2,High,Mitigation plan 234,Open
235,Risk,New market entry opportunity,Customer Satisfaction,Diana,4,5,Low,Mitigation plan 235,Open
236,Risk,Supplier failure risk,Regulatory,Ethan,1,4,Low,Mitigation plan 236,Closed
237,Risk,Positive impact of automation,Environmental,Ethan,2,5,High,Mitigation plan 237,Open
238,Risk,Loss of key personnel,Customer Satisfaction,Fiona,1,3,High,Mitigation plan 238,In Progress
239,Opportunity,Loss of key personnel,Customer Satisfaction,Charlie,4,5,Low,Mitigation plan 239,Closed
240,Risk,Cybersecurity breach,Customer Satisfaction,Charlie,1,3,Medium,Mitigation plan 240,Open
241,Opportunity,Cybersecurity breach,Regulatory,Fiona,3,1,Medium,Mitigation plan 241,Open
242,Opportunity,Supplier failure risk,Regulatory,Charlie,5,2,Low,Mitigation plan 242,Closed
243,Risk,Supplier failure risk,IT Security,Charlie,1,3,Low,Mitigation plan 243,In Progress
244,Risk,Compliance with new regulation,Supply Chain,Bob,4,2,High,Mitigation plan 244,Open
245,Risk,Data loss due to hardware failure,IT Security,Diana,1,4,High,Mitigation plan 245,In Progress
246,Risk,Supplier failure risk,Compliance,Diana,4,5,Low,Mitigation plan 246,Closed
247,Opportunity,Cybersecurity breach,Regulatory,Ethan,2,1,Low,Mitigation plan 247,Open
248,Opportunity,Cybersecurity breach,Regulatory,Bob,1,3,High,Mitigation plan 248,In Progress
249,Risk,Supplier failure risk,Environmental,Ethan,4,1,Medium,Mitigation plan 249,In Progress
250,Opportunity,Supplier failure risk,IT Security,Fiona,5,1,Medium,Mitigation plan 250,Closed
251,Opportunity,Positive impact of automation,Regulatory,Fiona,1,3,High,Mitigation plan 251,Closed
252,Risk,Data loss due to hardware failure,Customer Satisfaction,Diana,1,1,Low,Mitigation plan 252,Open
253,Opportunity,Compliance with new regulation,Environmental,Ethan,3,1,Low,Mitigation plan 253,Closed
254,Opportunity,Cybersecurity breach,Compliance,Fiona,5,2,Medium,Mitigation plan 254,In Progress
255,Risk,Supplier failure risk,Supply Chain,Bob,2,2,High,Mitigation plan 255,In Progress
256,Opportunity,Supplier failure risk,Compliance,Bob,4,1,High,Mitigation plan 256,In Progress
257,Opportunity,Supplier failure risk,Compliance,Charlie,5,4,High,Mitigation plan 257,Closed
258,Opportunity,Compliance with new regulation,IT Security,Fiona,2,4,Medium,Mitigation plan 258,In Progress
259,Risk,Cybersecurity breach,Compliance,Bob,5,4,Low,Mitigation plan 259,Open
260,Risk,Data loss due to hardware failure,Compliance,Bob,5,1,Medium,Mitigation plan 260,Open
261,Opportunity,Compliance with new regulation,Compliance,Fiona,3,5,High,Mitigation plan 261,In Progress
262,Opportunity,Loss of key personnel,Environmental,Fiona,3,5,Medium,Mitigation plan 262,In Progress
263,Opportunity,Positive impact of automation,Environmental,Charlie,4,5,Low,Mitigation plan 263,In Progress
264,Risk,Data loss due to hardware failure,Customer Satisfaction,Bob,2,4,High,Mitigation plan 264,Open
265,Risk,Data loss due to hardware failure,Supply Chain,Fiona,2,4,High,Mitigation plan 265,Closed
266,Opportunity,Supplier failure risk,Compliance,Ethan,2,4,Medium,Mitigation plan 266,Closed
267,Opportunity,Positive impact of automation,IT Security,Bob,2,5,Medium,Mitigation plan 267,In Progress
268,Risk,Loss of key personnel,Customer Satisfaction,Ethan,1,3,High,Mitigation plan 268,Closed
269,Risk,Cybersecurity breach,Regulatory,Fiona,1,1,High,Mitigation plan 269,Open
270,Opportunity,Positive impact of automation,Environmental,Fiona,5,3,Medium,Mitigation plan 270,In Progress
271,Opportunity,Positive impact of automation,Environmental,Alice,4,1,Low,Mitigation plan 271,Closed
272,Risk,Loss of key personnel,Supply Chain,Alice,3,3,Medium,Mitigation plan 272,Closed
273,Risk,Compliance with new regulation,Regulatory,Charlie,4,2,Medium,Mitigation plan 273,Closed
274,Risk,Cybersecurity breach,Supply Chain,Ethan,1,2,High,Mitigation plan 274,Open
275,Risk,Loss of key personnel,Environmental,Diana,2,4,Medium,Mitigation plan 275,Closed
276,Risk,New market entry opportunity,Compliance,Fiona,5,2,Low,Mitigation plan 276,In Progress
277,Risk,Compliance with new regulation,Regulatory,Bob,4,5,High,Mitigation plan 277,Open
278,Opportunity,New market entry opportunity,Compliance,Bob,3,5,High,Mitigation plan 278,In Progress
279,Risk,Supplier failure risk,Supply Chain,Alice,3,1,High,Mitigation plan 279,Closed
280,Risk,Compliance with new regulation,Regulatory,Charlie,2,1,High,Mitigation plan 280,Open
281,Opportunity,Supplier failure risk,Customer Satisfaction,Bob,5,5,Medium,Mitigation plan 281,Open
282,Risk,Supplier failure risk,IT Security,Fiona,4,4,High,Mitigation plan 282,Open
283,Opportunity,Loss of key personnel,Environmental,Charlie,4,2,Medium,Mitigation plan 283,Open
284,Risk,Supplier failure risk,Environmental,Charlie,5,5,Low,Mitigation plan 284,Closed
